Timestamp,Topo RA,Topo DEC,Geo RA,Geo DEC
1.65219E+12,200.2302991,6.099598516,202.6197885,0.171687027
1.65219E+12,201.4834676,6.099508397,203.8727458,0.171427276
1.65219E+12,202.736624,6.099332704,205.1256945,0.171085624
1.65219E+12,203.9897683,6.099071517,206.3786346,0.17066223
1.65219E+12,205.2429006,6.098724962,207.6315664,0.17015729
1.65219E+12,206.4960209,6.0982932,208.8844901,0.169571039
1.65219E+12,207.7491295,6.097776438,210.1374059,0.16890375
1.65219E+12,209.0022264,6.097174922,211.3903139,0.168155737
1.65219E+12,210.2553117,6.096488936,212.6432145,0.167327351
1.65219E+12,211.5083856,6.095718808,213.8961078,0.166418981
1.65219E+12,212.7614482,6.094864904,215.148994,0.165431057
1.65219E+12,214.0144996,6.09392763,216.4018735,0.164364043
1.65219E+12,215.2675401,6.092907434,217.6547464,0.163218444
1.65219E+12,216.5205697,6.0918048,218.907613,0.1619948
1.65219E+12,217.7735886,6.090620255,220.1604735,0.160693691
1.6522E+12,219.0265971,6.089354363,221.4133282,0.159315732
1.6522E+12,220.2795953,6.088007728,222.6661774,0.157861575
1.6522E+12,221.5325834,6.086580991,223.9190213,0.15633191
1.6522E+12,222.7855616,6.085074832,225.1718603,0.15472746
1.6522E+12,224.0385301,6.083489969,226.4246945,0.153048987
1.6522E+12,225.2914892,6.081827158,227.6775243,0.151297287
1.6522E+12,226.544439,6.080087192,228.9303499,0.149473191
1.6522E+12,227.7973799,6.0782709,230.1831718,0.147577565
1.6522E+12,229.0503119,6.076379148,231.43599,0.145611309
1.6522E+12,230.3032355,6.074412838,232.6888051,0.143575356
1.6522E+12,231.5561508,6.072372907,233.9416172,0.141470673
1.6522E+12,232.8090581,6.070260328,235.1944266,0.139298261
1.6522E+12,234.0619577,6.068076108,236.4472338,0.137059151
1.6522E+12,235.3148498,6.065821289,237.7000389,0.134754409
1.6522E+12,236.5677347,6.063496945,238.9528424,0.13238513
1.6522E+12,237.8206128,6.061104186,240.2056445,0.129952441
1.6522E+12,239.0734842,6.058644151,241.4584456,0.127457499
1.6522E+12,240.3263493,6.056118014,242.7112459,0.124901491
1.6522E+12,241.5792083,6.053526979,243.9640459,0.122285632
1.6522E+12,242.8320617,6.050872281,245.2168458,0.119611169
1.6522E+12,244.0849096,6.048155186,246.469646,0.116879373
1.6522E+12,245.3377525,6.045376989,247.7224467,0.114091546
1.6522E+12,246.5905905,6.042539014,248.9752485,0.111249014
1.6522E+12,247.8434242,6.039642615,250.2280515,0.10835313
1.6522E+12,249.0962536,6.036689172,251.4808561,0.105405275
1.6522E+12,250.3490793,6.033680094,252.7336626,0.102406853
1.6522E+12,251.6019014,6.030616814,253.9864714,0.099359291
1.6522E+12,252.8547205,6.027500795,255.2392829,0.096264042
1.6522E+12,254.1075367,6.02433352,256.4920972,0.093122581
1.6522E+12,255.3603504,6.021116501,257.7449149,0.089936404
1.6522E+12,256.613162,6.01785127,258.9977362,0.086707031
1.6522E+12,257.8659717,6.014539384,260.2505614,0.083436001
1.6522E+12,259.1187801,6.011182423,261.5033909,0.080124873
1.65221E+12,260.3715873,6.007781987,262.7562249,0.076775227
1.65221E+12,261.6243937,6.004339698,264.0090639,0.07338866
1.65221E+12,262.8771997,6.000857197,265.2619082,0.069966786
1.65221E+12,264.1300056,5.997336143,266.514758,0.066511239
1.65221E+12,265.3828118,5.993778216,267.7676138,0.063023666
1.65221E+12,266.6356186,5.990185113,269.0204757,0.059505731
